country_code,gold,silver,bronze,total,gdp,gdp_year,population,region_Africa,region_Asia,region_Caribbean,region_Europe,region_North America,region_Oceania,region_South America
85,40,44,42,126,81695.19,2023,334.9,0,0,0,0,1,0,0
14,40,27,24,91,12614.06,2023,1410.7,0,1,0,0,0,0,0
48,20,12,13,45,33834.39,2023,124.5,0,1,0,0,0,0,0
3,18,19,16,53,64711.77,2023,26.6,0,0,0,0,0,1,0
31,16,26,22,64,44460.82,2023,68.2,0,0,0,1,0,0,0
60,15,7,12,34,62536.73,2023,17.9,0,0,0,1,0,0,0
32,14,22,29,65,48866.6,2023,68.3,0,0,0,1,0,0,0
52,13,9,10,32,33121.37,2023,51.7,0,1,0,0,0,0,0
45,12,13,15,40,38373.17,2023,58.8,0,0,0,1,0,0,0
21,12,13,8,33,52745.76,2023,84.5,0,0,0,1,0,0,0
62,10,7,3,20,48527.83,2023,5.2,0,0,0,0,0,1,0
11,9,7,11,27,53371.7,2023,40.1,0,0,0,0,1,0,0
86,8,2,3,13,2496.11,2023,36.4,0,1,0,0,0,0,0
39,6,7,6,19,22147.21,2023,9.6,0,0,0,1,0,0,0
28,5,4,9,18,32676.98,2023,48.4,0,0,0,1,0,0,0
77,4,4,3,11,56305.25,2023,10.5,0,0,0,1,0,0,0
50,4,2,5,11,1949.9,2023,55.1,1,0,0,0,0,0,0
61,4,1,3,8,87961.78,2023,5.5,0,0,0,1,0,0,0
42,4,0,3,7,103684.88,2023,5.3,0,0,0,1,0,0,0
9,3,7,10,20,10043.62,2023,216.4,0,0,0,0,0,0,1
43,3,6,3,12,4502.55,2023,89.2,0,1,0,0,0,0,0
84,3,5,4,12,5181.36,2023,37.0,0,0,0,1,0,0,0
72,3,4,2,9,18419.42,2023,19.1,0,0,0,1,0,0,0
33,3,3,1,7,8120.36,2023,3.8,0,0,0,1,0,0,0
6,3,1,6,10,53475.29,2023,11.8,0,0,0,1,0,0,0
7,3,1,3,7,15797.6,2023,6.4,0,0,0,1,0,0,0
74,3,1,1,5,11360.96,2023,6.6,0,0,0,1,0,0,0
20,3,0,2,5,30427.42,2023,10.9,0,0,0,1,0,0,0
23,2,2,5,9,67967.38,2023,5.9,0,0,0,1,0,0,0
5,2,2,3,7,7155.08,2023,10.1,0,1,0,0,0,0,0
38,2,2,3,7,21459.78,2023,3.9,0,0,0,1,0,0,0
18,2,1,6,9,56495.85,2022,11.2,0,0,0,0,1,0,0
8,2,1,1,4,29084.31,2023,1.5,0,1,0,0,0,0,0
76,2,1,0,3,32163.51,2023,2.1,0,0,0,1,0,0,0
80,2,0,5,7,32443.71,2023,23.2,0,1,0,0,0,0,0
4,2,0,3,5,56505.97,2023,9.1,0,0,0,1,0,0,0
37,2,0,2,4,50696.59,2023,7.5,0,1,0,0,0,0,0
66,2,0,2,4,3725.55,2023,117.3,0,1,0,0,0,0,0
25,2,0,1,3,5260.21,2023,45.6,1,0,0,0,0,0,0
40,2,0,1,3,4940.55,2023,277.5,0,1,0,0,0,0,0
44,1,5,1,7,52261.68,2023,9.8,0,1,0,0,0,0,0
67,1,4,5,10,22112.86,2023,36.7,0,0,0,1,0,0,0
49,1,3,3,7,13136.62,2023,19.9,0,1,0,0,0,0,0
46,1,3,2,6,6874.2,2023,2.8,0,0,0,0,1,0,0
88,1,3,2,6,6253.16,2023,60.4,1,0,0,0,0,0,0
78,1,3,2,6,7171.81,2023,71.8,0,1,0,0,0,0,0
29,1,3,0,4,1293.78,2023,126.5,1,0,0,0,0,0,0
12,1,2,5,8,99994.94,2023,8.8,0,0,0,1,0,0,0
26,1,2,2,5,6533.35,2023,18.2,0,0,0,0,0,0,1
70,1,2,1,4,27275.11,2023,10.5,0,0,0,1,0,0,0
34,1,1,6,8,22990.01,2023,10.4,0,0,0,1,0,0,0
1,1,1,1,3,13730.51,2023,46.7,0,0,0,0,0,0,1
27,1,1,1,3,3512.58,2023,112.7,1,0,0,0,0,0,0
81,1,1,1,3,3895.39,2023,12.5,1,0,0,0,0,0,0
10,1,1,0,2,7249.8,2023,2.7,1,0,0,0,0,0,0
13,1,1,0,2,17093.24,2023,19.6,0,0,0,0,0,0,1
53,1,1,0,2,13980.09,2023,0.2,0,0,1,0,0,0,0
83,1,1,0,2,1014.21,2023,48.6,1,0,0,0,0,0,0
24,1,0,2,3,10716.01,2023,11.3,0,0,0,0,1,0,0
36,1,0,1,2,5797.52,2023,17.6,0,0,0,0,1,0,0
55,1,0,1,2,3672.11,2023,37.8,1,0,0,0,0,0,0
22,1,0,0,1,8953.9,2023,0.1,0,0,1,0,0,0,0
63,1,0,0,1,1407.02,2023,240.5,0,1,0,0,0,0,0
82,0,3,5,8,12985.75,2023,85.3,0,1,0,0,0,0,0
57,0,3,2,5,13926.11,2023,128.5,0,0,0,0,1,0,0
2,0,3,1,4,8715.77,2023,2.8,0,1,0,0,0,0,0
16,0,3,1,4,6979.73,2023,52.1,0,0,0,0,0,0,1
69,0,2,4,6,1217.0,2023,26.2,0,1,0,0,0,0,0
51,0,2,4,6,1969.87,2023,7.1,0,1,0,0,0,0,0
54,0,2,2,4,27102.78,2023,2.9,0,0,0,1,0,0,0
41,0,1,5,6,2484.85,2023,1428.6,0,1,0,0,0,0,0
56,0,1,3,4,6650.65,2023,2.5,0,0,0,1,0,0,0
87,0,1,1,2,5943.13,2023,1.8,0,0,0,1,0,0,0
19,0,1,0,1,34701.44,2023,1.3,0,0,0,1,0,0,0
30,0,1,0,1,5868.16,2023,0.9,0,0,0,0,0,1,0
47,0,1,0,1,4482.09,2023,11.3,0,1,0,0,0,0,0
58,0,1,0,1,5764.8,2023,3.4,0,1,0,0,0,0,0
64,0,1,0,1,18661.77,2023,4.5,0,0,0,0,0,0,1
79,0,0,3,3,1188.99,2023,10.1,0,1,0,0,0,0,0
0,0,0,2,2,8367.78,2023,2.7,0,0,0,1,0,0,0
35,0,0,2,2,10463.65,2023,0.1,0,0,1,0,0,0,0
59,0,0,2,2,11648.67,2023,34.3,0,1,0,0,0,0,0
68,0,0,2,2,36779.06,2023,3.2,0,0,1,0,0,0,0
17,0,0,1,1,4321.58,2023,0.6,1,0,0,0,0,0,0
15,0,0,1,1,2728.8,2023,28.9,1,0,0,0,0,0,0
65,0,0,1,1,7789.87,2023,34.4,0,0,0,0,0,0,1
71,0,0,1,1,87480.42,2022,2.7,0,1,0,0,0,0,0
73,0,0,1,1,84734.26,2023,5.9,0,1,0,0,0,0,0
75,0,0,1,1,24470.24,2023,5.4,0,0,0,1,0,0,0
89,0,0,1,1,1369.13,2023,20.6,1,0,0,0,0,0,0
